call_id,flags,flag_count,transcript_chars,transcript_preview,gold_appointment_booked,gold_client_type,gold_treatment_type,gold_reason_not_booked,review_status,review_notes
CAL000982de28904f1aa7f072d197347693,garbled|no_medical_content,2,1753,"Agent: Downtown animal clinic. How can I help you? Caller: Hi. I'm just calling to hopefully get some information. My cat is not a current patient of yours because we're somewhat new to Calgary, so she doesn't have a Calgary vet yet. Agent: Okay. Caller: But I was just wondering if you are accepting",No,New,"Preventive Care – Wellness Screening (Bloodwork, Urinalysis, Fecals)",1a. Caller Procrastination - Price Objection / Shopping / Request for Quote,,
CAL000aeb5cceb842ff9ab94f9dc115873d,no_medical_content,1,513,"Agent: Good morning, Blue Sky Animal Hospital. Caller: Hi there. I'm just wondering, are there any cancellations this afternoon for an appointment? Agent: Unfortunately, we are fully booked. Caller: Okay. Do you happen to have that smart vet phone number handy? Agent: Yep. Yep. Caller: Okay, I'm rea",No,Existing,Urgent Care / Sick Pet,2a. Scheduling Issue - Walk ins not available / no same day appt,,
CAL0024c5183d6641a7bab31a88e46fbc69,garbled,1,2492,"Agent: Kingston Regional Pet Hospital. How can I help you? Caller: Hi there. I'm calling to see if I can bring my dog in. Agent: What's your concern? Caller: She went to the vet yesterday because she's vomiting and not eating, and she has [MEDICAL_CONDITION] [MEDICAL_CONDITION] [MEDICAL_CONDITION] [",Yes,New,Emergency & Critical Care,,,
CAL0039a82c50d340abaf5823d06785a4a0,very_short|voicemail,2,182,"Agent: Hello, you have reached the Blue Sky Animal Hospital. Our office is currently closed today between 12 and 1pm if you'd like to schedule an appointment, you have the option of.",Inconclusive,Inconclusive,N/A (missed call),,,
CAL008a74d19188416cbd3be39780335bbb,wrong_number|no_medical_content,2,273,"Agent: Good afternoon. All about pets. Caller: Hi, there is this story Langley Animal Clinic. Agent: Note. This is all about pets animal hospital. Caller: Oh, my goodness. I'm sorry. I have the wrong number. Sorry. Agent: No worries. Take care. Bye. Caller: Thank you. Bye.",No,New,Preventive Care,4. Meant to call competitor hospital,,
CAL008db269e7294a62a394fecdbe852724,admin_no_medical,1,1340,"Agent: Glennard Animal Hospital. How can I help you? Caller: Hi, how are you? Agent: I'm good. How are you? Caller: Good. So Layo's appointment Friday. Agent: Yes. Caller: So. But I have a work. Can I change the appointment to Monday or Tuesday? Agent: I'm sorry, what was your pet's name? How do I s",Yes,Existing,Preventive Care – Annual Exams,,,
CAL00929b7f48514a6b85c94fad4b997d9f,no_medical_content,1,1095,"Agent: Good afternoon, Morris Veterinary Clinic. How may I help you? Caller: Hi. Good afternoon. How are you? Agent: Good, thank you. And you. Caller: Good, thanks. Actually, I was wondering if we could get an appointment for Prince. Agent: What's going on with them? Caller: There's something going ",No,Existing,"Urgent Care – Diagnosis and Treatment of Illnesses (Vomiting, Diabetes, Infections)",2b. Scheduling Issue - Full schedule,,
CAL009fecf1e3dc43fcb124f083b4886d34,admin_no_medical,1,878,"Agent: Village Gate Animal Hospital. This is Sarah. How may I help you? Caller: Oh, good afternoon, Sarah. My name is David. I had an appointment scheduled for my two cats at four, but unfortunately something's come up and we won't be able to make it. I understand that their vet, their doctor is off",No,Existing,Preventive Care,1. Caller Procrastination,,
CAL00a0052f044140e2ab2535a85367c137,no_medical_content,1,1418,"Agent: Emily Animal Hospital. Caller: Hi there. I'm calling because I had my dog cremated with you guys a few weeks ago, and you were going to do a paw print for us, and then we picked up her ashes. There was no paw print included. And then I called you guys and you said it would be in the mail, but",No,Existing,End of Life Care,,,
CAL011ebf53493445e7896fed44ce7c81f6,no_medical_content,1,817,"Agent: Pickering Animal Hospital. Amanda speaking. How can I help you? Caller: Hi. I need to make an appointment for my dog. Charlie. Agent: Okay. Is it Kushni? Caller: Yes. Agent: Okay, what's Charlie coming in for? Caller: We need to get him checked. He's very. Getting very old. He's eating less. ",Yes,Existing,End of Life Care,,,
